
[2024-01-19 11:16:20.172693] Epoch: 61 / 1000, Frames: 18600, Gov_Rewards: -751.754, House_Rewards: 84.766, years:1.000, actor_loss: 73362.249, critic_loss: 287687.606
[2024-01-19 11:16:30.120444] Epoch: 62 / 1000, Frames: 18900, Gov_Rewards: -740.182, House_Rewards: 84.765, years:1.000, actor_loss: 73583.494, critic_loss: 282596.937
[2024-01-19 11:16:40.112674] Epoch: 63 / 1000, Frames: 19200, Gov_Rewards: -739.763, House_Rewards: 84.763, years:1.000, actor_loss: 73421.544, critic_loss: 272704.902
[2024-01-19 11:16:49.799909] Epoch: 64 / 1000, Frames: 19500, Gov_Rewards: -743.145, House_Rewards: 84.854, years:1.000, actor_loss: 73599.774, critic_loss: 260231.333
[2024-01-19 11:16:59.873779] Epoch: 65 / 1000, Frames: 19800, Gov_Rewards: -743.836, House_Rewards: 84.756, years:1.000, actor_loss: 73566.238, critic_loss: 248426.310
[2024-01-19 11:17:09.820416] Epoch: 66 / 1000, Frames: 20100, Gov_Rewards: -734.631, House_Rewards: 84.940, years:1.000, actor_loss: 73563.290, critic_loss: 280486.724
[2024-01-19 11:17:19.481203] Epoch: 67 / 1000, Frames: 20400, Gov_Rewards: -741.662, House_Rewards: 84.940, years:1.000, actor_loss: 73547.058, critic_loss: 1033183.969
[2024-01-19 11:17:29.213179] Epoch: 68 / 1000, Frames: 20700, Gov_Rewards: -765.345, House_Rewards: 84.942, years:1.000, actor_loss: 73914.997, critic_loss: 247197.795
[2024-01-19 11:17:39.177461] Epoch: 69 / 1000, Frames: 21000, Gov_Rewards: -769.734, House_Rewards: 84.809, years:1.000, actor_loss: 73786.914, critic_loss: 805879.679
[2024-01-19 11:17:48.913308] Epoch: 70 / 1000, Frames: 21300, Gov_Rewards: -768.265, House_Rewards: 84.909, years:1.000, actor_loss: 74036.346, critic_loss: 523789.670
[2024-01-19 11:17:58.794707] Epoch: 71 / 1000, Frames: 21600, Gov_Rewards: -765.593, House_Rewards: 84.780, years:1.000, actor_loss: 74093.278, critic_loss: 256463.114
[2024-01-19 11:18:08.832319] Epoch: 72 / 1000, Frames: 21900, Gov_Rewards: -770.373, House_Rewards: 84.879, years:1.000, actor_loss: 74137.269, critic_loss: 237788.546
[2024-01-19 11:18:18.624147] Epoch: 73 / 1000, Frames: 22200, Gov_Rewards: -772.366, House_Rewards: 84.740, years:1.000, actor_loss: 74186.489, critic_loss: 783232.431
[2024-01-19 11:18:28.590037] Epoch: 74 / 1000, Frames: 22500, Gov_Rewards: -769.352, House_Rewards: 84.904, years:1.000, actor_loss: 74166.243, critic_loss: 490664.677
[2024-01-19 11:18:38.520955] Epoch: 75 / 1000, Frames: 22800, Gov_Rewards: -765.107, House_Rewards: 85.025, years:1.000, actor_loss: 74316.011, critic_loss: 456572.075
[2024-01-19 11:18:48.425257] Epoch: 76 / 1000, Frames: 23100, Gov_Rewards: -827.904, House_Rewards: 78.562, years:1.000, actor_loss: 73396.665, critic_loss: 325693.600
[2024-01-19 11:18:58.592971] Epoch: 77 / 1000, Frames: 23400, Gov_Rewards: -801.825, House_Rewards: 80.879, years:1.000, actor_loss: 72586.372, critic_loss: 427171.757
